NLine,PrivilegeID,ModuleName,PrivilegeName
1,0,,Adherence
2,0,,    Adherence
3,-10008,Adherence,        Authorize Adherence Exceptions
4,-10320,Adherence,        Load and Playback Agent Interactions
5,-10066,Adherence,        View Quick View
6,-10005,Adherence,        View Time Records (Day Details)
7,-10006,Adherence,            Edit Time Records (Day Details)
8,0,,    Who is in
9,-10106,Who is in,        View Who is in Status
10,0,,Analytics
11,-10556,Analytics,    Access Analytics Application
12,-10555,Analytics,        Ad-hoc Search by Keywords
13,-10552,Analytics,        Category Designer
14,-10871,Analytics,    View Analytics Results
15,-12041,Analytics,        Enable Continuous Accuracy Tuning
16,-12042,Analytics,        Enable Continuous Accuracy Tuning Workspace
17,-12044,Analytics,        Manage Hidden Terms for Term Trends
18,-20701,Analytics,        View Transcript
19,0,,Basic Adherence
20,0,,    Adherence Configuration
21,-10105,Adherence Configuration,        View Adherence Mapping
22,-10022,Adherence Configuration,            Configure Adherence Mapping
23,-10061,Adherence Configuration,        View Time Collections Mapping
24,-10062,Adherence Configuration,            Configure Time Collections Mapping
25,0,,    Basic Adherence
26,-10011,Basic Adherence,        View Adherence
27,0,,Coaching
28,0,,    Coaching Admin
29,-10450,Coaching Admin,        View Coaching Results
30,-10452,Coaching Admin,            Configure Coaching Results
31,-10460,Coaching Admin,        View Coaching Session Types
32,-10462,Coaching Admin,            Configure Coaching Session Types
33,-11181,Coaching Admin,        View Coaching Topics
34,-11182,Coaching Admin,            Configure Coaching Topics
35,0,,    Manage Coaching Sessions
36,-10486,Manage Coaching Sessions,            Add / Delete Evaluation Attachments
37,-10480,Manage Coaching Sessions,        View Interaction Attachments
38,-10482,Manage Coaching Sessions,            Add / Delete Interaction Attachments
39,-10470,Manage Coaching Sessions,        View Manage Coaching
40,-10472,Manage Coaching Sessions,            Configure Coaching Sessions
41,-10479,Manage Coaching Sessions,                Configure Specific Date/Time Schedule
42,-10474,Manage Coaching Sessions,                Delete Coached Sessions
43,-10476,Manage Coaching Sessions,                Enable All Coaching Session Statuses
44,-10478,Manage Coaching Sessions,                Review Coaching Sessions
45,0,,    My Coaching Sessions
46,-10494,My Coaching Sessions,        View Evaluation Attachments
47,-10492,My Coaching Sessions,        View Interaction Attachments
48,-10490,My Coaching Sessions,        View My Coaching
49,0,,eLearning
50,0,,    Competencies
51,-10379,Competencies,        View Competencies
52,-10380,Competencies,            Create / Edit / Delete Competencies
53,-10378,Competencies,        View My Competencies
54,0,,    Competency Assignments
55,-10381,Competency Assignments,        View Competency Assignments
56,-10382,Competency Assignments,            Create / Edit / Delete Competency Assignments
57,0,,    Lesson Assignments
58,-10374,Lesson Assignments,        View Lesson Assignments
59,-10375,Lesson Assignments,            Create / Edit / Delete Lesson Assignments
60,0,,    Lessons
61,-10495,Lessons,        Add / Remove Availability
62,-10371,Lessons,        Self Assign Lessons
63,-10372,Lessons,        View Lessons
64,-10373,Lessons,            Create / Edit / Delete Lessons
65,-10370,Lessons,        View My Lessons
66,0,,    Priorities
67,-13103,Priorities,        View Priorities
68,-13104,Priorities,            Create / Edit / Delete Priorities
69,0,,    Review
70,-10394,Review,        Review Competencies
71,-10376,Review,        Review Lessons
72,-10377,Review,            Adjust Lessons
73,0,,Enterprise Manager
74,0,,    Archive
75,-10433,Archive,        Assign Campaigns To Installation
76,-10438,Archive,        View Archive Media
77,-10439,Archive,            Edit Archive Media
78,-10434,Archive,        View Archiving Campaigns
79,-10435,Archive,            Edit Archiving Campaigns
80,-10436,Archive,        View Archiving Schedules
81,-10437,Archive,            Edit Archiving Schedules
82,0,,    Attributes
83,-10383,Attributes,        View Contact Attributes
84,-10384,Attributes,            Edit Contact Attributes
85,-10385,Attributes,            Edit Lookup Mappings
86,-10444,Attributes,        View Custom Data Mappings
87,-10445,Attributes,            Edit Custom Data Mappings
88,0,,    Import Export Manager Configuration
89,-10910,Import Export Manager Configuration,        Launch Import Export Manager
90,-10893,Import Export Manager Configuration,        View Adapters
91,-10894,Import Export Manager Configuration,            Edit Adapters
92,-10895,Import Export Manager Configuration,        View Custom Data
93,-10896,Import Export Manager Configuration,            Edit Custom Data
94,-10891,Import Export Manager Configuration,        View Data Sources
95,-10892,Import Export Manager Configuration,            Edit Data Sources
96,-10897,Import Export Manager Configuration,        View General Settings
97,-10898,Import Export Manager Configuration,            Edit General Settings
98,-10899,Import Export Manager Configuration,        View Integration Settings
99,-10901,Import Export Manager Configuration,            Edit Integration Settings
100,-10904,Import Export Manager Configuration,        View Platform Integration Type
101,-10905,Import Export Manager Configuration,            Edit Platform Integration Type
102,-10902,Import Export Manager Configuration,        View Speech Settings
103,-10903,Import Export Manager Configuration,            Edit Speech Settings
104,0,,    Import Export Manager Operation
105,-10886,Import Export Manager Operation,        View Data sync Statistics
106,-10887,Import Export Manager Operation,        View Jobs
107,-10888,Import Export Manager Operation,            Edit Jobs
108,-10885,Import Export Manager Operation,        View Job Statistics
109,-10931,Import Export Manager Operation,        View Retriable Permanent Failed Call Statistics
110,-10932,Import Export Manager Operation,            Edit Retriable Permanent Failed Calls List
111,-10889,Import Export Manager Operation,        View Selection Plans
112,-10890,Import Export Manager Operation,            Edit Selection Plans
113,-10930,Import Export Manager Operation,        View Version
114,0,,    Installations
115,-20989,Installations,        View Desktop Status
116,-21005,Installations,            Collect Component Logs
117,-21001,Installations,            Create Desktops
118,-10290,Installations,        View Installation Hierarchy
119,-20952,Installations,            Access System Engineering Tool
